部署名,棚番,用途,種類,メーカー名,品番,数量,依頼,依頼日,税抜単価,税抜金額 ,在庫数,発注点,発注,発注日,出庫,出庫日,入庫 ,入庫日,仕入先名,備考,担当者,伝票No,税込単価 ,税込金額,税額,税率,勘定科目,使用先,サイズ,入力日
生産部,,,ザグリホルダー,京セラ,C06J-SCLCR04-07AN,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,曽根田,C06-SCLCR04-07V-110,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,曽根田,C06-SCLCR04-07V-110修理,1,,,,¥0,,,,,,,,,岩瀬産業(株),超硬ホルダードクターシステム(納期約2ヶ月),加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,直付けホルダー,NTK,C08K-STUPR09D10-OH,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ザグリホルダー,曽根田,C08-SCLCR06-10V-140,1,,,,¥0,,,,,,,,,岩瀬産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,シャーペン芯,PENTEL,C255-HB,1,,,160,¥160,,,,,,,,,棒柘産業(株),,加藤彩,,¥176,¥176,¥16,10,消耗品,,,
生産部,,,シャーペン芯,PENTEL,C275-2B,1,,,160,¥160,,,,,,,,,棒柘産業(株),,加藤彩,,¥176,¥176,¥16,10,消耗品,,,
生産部,,,シャーペン芯,PENTEL,C275-B,1,,,160,¥160,,,,,,,,,棒柘産業(株),,加藤彩,,¥176,¥176,¥16,10,消耗品,,,
生産部,,,シャーペン芯,PENTEL,C275-HB,1,,,160,¥160,,,,,,,,,棒柘産業(株),,加藤彩,,¥176,¥176,¥16,10,消耗品,,,
生産部,,,切断機,リョービ,C-3050,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,清掃用具,山崎産業,C75-6-400X-MB 高所作業用ポール 伸縮ポール 4m,1,,,,¥0,,,,,,,,,棒柘産業(株),,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,CAD/CAM,NEDOS,CAD/CAM タブレット 「SAYA」,1,,,,¥0,,,,,,,,,(株)佐藤機工,,加藤彩,,¥0,¥0,¥0,10,消耗品,,,
生産部,,,ピンゲージケース,アイゼン,CA-L六角プラケース大φ11.00～20.00,1,,,116,¥116,,,,,,,,,棒柘産業(株),,加藤彩,,¥128,¥128,¥12,10,消耗品,,,
生産部,,,ネジ,,CAP 4*35,1,,,7,¥7,,,,,,,,,棒柘産業(株),キャップスクリューボルト M4 L=35mm,加藤彩,,¥8,¥8,¥1,10,消耗品,,,
生産部,,,ネジ,ALPS SEIKO,CAP 5*20,1,,,5,¥5,,,,,,,,,棒柘産業(株),12型用くさびネジ,加藤彩,,¥6,¥6,¥1,10,消耗品,,,
生産部,,,ネジ,ALPS SEIKO,CAP 6*20,1,,,5,¥5,,,,,,,,,棒柘産業(株),L20用くさびネジ,加藤彩,,¥6,¥6,¥1,10,消耗品,,,
